filename,speaker
000000.wav,id00000
000001.wav,id00000
000002.wav,id00000
000003.wav,id00000
000004.wav,id00000
000005.wav,id00000
000006.wav,id00000
000007.wav,id00000
000008.wav,id00000
000009.wav,id00000
000010.wav,id00000
000011.wav,id00000
000012.wav,id00000
000013.wav,id00000
000014.wav,id00000
000015.wav,id00000
000016.wav,id00000
000017.wav,id00000
000018.wav,id00000
000019.wav,id00000
000020.wav,id00000
000021.wav,id00000
000022.wav,id00000
000023.wav,id00000
000024.wav,id00000
000025.wav,id00000
000026.wav,id00000
000027.wav,id00000
000028.wav,id00000
000029.wav,id00000
000030.wav,id00000
000031.wav,id00000
000032.wav,id00000
000033.wav,id00000
000034.wav,id00000
000035.wav,id00000
000036.wav,id00000
000037.wav,id00000
000038.wav,id00000
000039.wav,id00000
000040.wav,id00000
000041.wav,id00000
000042.wav,id00000
000043.wav,id00000
000044.wav,id00000
000045.wav,id00000
000046.wav,id00000
000047.wav,id00000
000048.wav,id00000
000049.wav,id00000
000050.wav,id00000
000051.wav,id00000
000052.wav,id00000
000053.wav,id00000
000054.wav,id00000
000055.wav,id00000
000056.wav,id00000
000057.wav,id00000
000058.wav,id00000
000059.wav,id00000
000060.wav,id00000
000061.wav,id00000
000062.wav,id00000
000063.wav,id00000
000064.wav,id00000
000065.wav,id00000
000066.wav,id00000
000067.wav,id00000
000068.wav,id00000
000069.wav,id00000
000070.wav,id00000
000071.wav,id00000
000072.wav,id00000
000073.wav,id00000
000074.wav,id00000
000075.wav,id00000
000076.wav,id00000
000077.wav,id00000
000078.wav,id00000
000079.wav,id00000
000080.wav,id00000
000081.wav,id00000
000082.wav,id00000
000083.wav,id00000
000084.wav,id00000
000085.wav,id00000
000086.wav,id00000
000087.wav,id00000
000088.wav,id00000
000089.wav,id00000
000090.wav,id00000
000091.wav,id00000
000092.wav,id00000
000093.wav,id00000
000094.wav,id00000
000095.wav,id00000
000096.wav,id00000
000097.wav,id00000
000098.wav,id00000
000099.wav,id00000
000100.wav,id00000
000101.wav,id00000
000102.wav,id00000
000103.wav,id00000
000104.wav,id00000
000105.wav,id00000
000106.wav,id00000
000107.wav,id00000
000108.wav,id00000
000109.wav,id00000
000110.wav,id00000
000111.wav,id00000
000112.wav,id00000
000113.wav,id00000
000114.wav,id00000
000115.wav,id00000
000116.wav,id00000
000117.wav,id00000
000118.wav,id00000
000119.wav,id00000
000120.wav,id00000
000121.wav,id00000
000122.wav,id00000
000123.wav,id00000
000124.wav,id00000
000125.wav,id00000
000126.wav,id00000
000127.wav,id00000
000128.wav,id00000
000129.wav,id00000
000130.wav,id00000
000131.wav,id00000
000132.wav,id00000
000133.wav,id00000
000134.wav,id00000
000135.wav,id00000
